' \" @(#)cnt_ntw.out	 3.1	 03/22/88
================================================================================
                                     S L S                                      
                                  version: 3.0                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | p p   l u   i i i i   i i i i     p p p p p     o o o o   t 
 in 1e-09 sec | h h   o p   n n n n   n n n n     * * * * *     u u u u   c 
              | i i   a     * * * *   _ _ _ _     1 2 3 4 5     t t t t     
              | 1 2   d     1 2 3 4   i i i i     * * * * *     * * * *     
              |             * * * *   n n n n                   1 2 3 4     
              |                       * * * *                   * * * *     
              |                       1 2 3 4                               
              |                       * * * *                               
================================================================================
        0.000 | 0 0   0 1   0 0 0 0   1 1 1 1     0 0 0 0 0     x x x x   x
       10.000 | 1 0   1 1   1 1 1 1   1 1 1 1     0 0 0 0 0     x x x x   x
       10.539 | 1 0   1 1   1 1 1 1   0 1 1 1     0 0 0 0 0     x x x x   x
       10.702 | 1 0   1 1   1 1 1 1   0 0 1 1     0 0 0 0 0     x x x x   x
       10.864 | 1 0   1 1   1 1 1 1   0 0 0 1     0 0 0 0 0     x x x x   x
       11.026 | 1 0   1 1   1 1 1 1   0 0 0 0     0 0 0 0 0     x x x x   x
       20.000 | 0 0   1 1   0 0 0 0   0 0 0 0     0 0 0 0 0     x x x x   x
       23.509 | 0 0   1 1   0 0 0 0   1 0 0 0     0 0 0 0 0     x x x x   x
       25.038 | 0 0   1 1   0 0 0 0   1 1 0 0     0 0 0 0 0     x x x x   x
       26.568 | 0 0   1 1   0 0 0 0   1 1 1 0     0 0 0 0 0     x x x x   x
       28.098 | 0 0   1 1   0 0 0 0   1 1 1 1     0 0 0 0 0     x x x x   x
       30.000 | 0 1   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     x x x x   0
       30.099 | 0 1   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     x x x 1   0
       30.299 | 0 1   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     x 1 x 1   0
       30.599 | 0 1   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     1 1 x 1   0
       30.649 | 0 1   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     1 1 1 1   0
       40.000 | 0 0   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     1 1 1 1   0
       50.000 | 1 0   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     1 1 1 1   0
       60.000 | 0 0   1 1   0 0 0 0   1 1 1 1     1 1 0 1 0     1 1 1 1   0
       70.000 | 0 1   1 1   0 0 0 0   1 1 1 1     0 1 1 0 1     1 1 1 1   0
       80.000 | 0 0   0 1   0 0 0 0   1 1 1 1     0 1 1 0 1     1 1 1 1   0
       90.000 | 1 0   0 1   0 0 0 0   1 1 1 1     0 1 1 0 1     1 1 1 1   0
      100.000 | 0 0   0 1   0 0 0 0   1 1 1 1     0 1 1 0 1     1 1 1 1   0
      110.000 | 0 1   0 1   0 0 0 0   1 1 1 1     x x x x x     1 1 1 1   0
      110.099 | 0 1   0 1   0 0 0 0   1 1 1 1     x x x x x     1 1 1 0   0
      110.199 | 0 1   0 1   0 0 0 0   1 1 1 1     x x x x x     1 0 1 0   0
      110.599 | 0 1   0 1   0 0 0 0   1 1 1 1     x x x x x     0 0 1 0   0
      110.999 | 0 1   0 1   0 0 0 0   1 1 1 1     x x x x x     0 0 0 0   0
      120.000 | 0 0   0 1   0 0 0 0   1 1 1 1     x x x x x     0 0 0 0   0
      130.000 | 1 0   0 1   0 0 0 0   1 1 1 1     x x x x x     0 0 0 0   0
      140.000 | 0 0   0 1   0 0 0 0   1 1 1 1     x x x x x     0 0 0 0   0
      150.000 | 0 1   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 0 0   0
      150.099 | 0 1   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 0 1   0
      160.000 | 0 0   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 0 1   0
      170.000 | 1 0   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 0 1   0
      180.000 | 0 0   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 0 1   0
      190.000 | 0 1   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 0 1   0
      190.099 | 0 1   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 0 0   0
      190.999 | 0 1   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 1 0   0
      200.000 | 0 0   0 1   0 0 0 0   1 1 1 1     0 1 1 1 1     0 0 1 0   0
================================================================================
  network : count_netw                                              nodes : 34  
================================================================================
