' \" @(#)d_shft.out	 3.1	 03/22/88
================================================================================
                                     S L S                                      
                                  version: 3.0                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | p p   i i i i   c c i i e   c c i i e   b b b b 
 in 1e-09 sec | h h   n n n n   A A r l n   B B r l n   u u u u 
              | i i   * * * *   0 1 A A a   0 1 B B a   s s s s 
              | 1 2   1 2 3 4           b           b   * * * * 
              |       * * * *           l           l   1 2 3 4 
              |                         e           e   * * * * 
              |                         A           B           
================================================================================
         0.00 | 0 0   0 0 0 0   0 1 0 0 0   1 1 0 0 1   1 1 1 1
         1.00 | 1 0   0 0 0 0   0 1 0 0 0   1 1 0 0 1   1 1 1 1
         2.00 | 0 0   0 0 0 0   0 1 0 0 0   1 1 0 0 1   1 1 1 1
         3.00 | 0 1   0 0 0 0   0 1 0 0 0   1 1 0 0 1   1 1 1 1
         4.00 | 0 0   0 0 0 1   0 1 0 0 0   1 0 0 0 1   1 1 1 0
         5.00 | 1 0   0 0 0 1   0 1 0 0 0   1 0 0 0 1   1 1 1 0
         6.00 | 0 0   0 0 0 1   0 1 0 0 0   1 0 0 0 1   1 1 1 0
         7.00 | 0 1   0 0 0 1   0 1 0 0 0   1 0 0 0 1   0 1 1 1
         8.00 | 0 0   0 0 1 0   1 1 0 0 0   1 0 1 0 1   1 1 0 1
         9.00 | 1 0   0 0 1 0   1 1 0 0 0   1 0 1 0 1   1 1 0 1
        10.00 | 0 0   0 0 1 0   1 1 0 0 0   1 0 1 0 1   1 1 0 1
        11.00 | 0 1   0 0 1 0   1 1 0 0 0   1 0 1 0 1   1 0 1 1
        12.00 | 0 0   0 0 1 1   0 1 0 0 1   1 0 0 0 0   1 1 0 0
        13.00 | 1 0   0 0 1 1   0 1 0 0 1   1 0 0 0 0   1 1 0 0
        14.00 | 0 0   0 0 1 1   0 1 0 0 1   1 0 0 0 0   1 1 0 0
        15.00 | 0 1   0 0 1 1   0 1 0 0 1   1 0 0 0 0   1 0 1 0
        16.00 | 0 0   0 1 0 0   0 1 0 0 1   1 0 1 0 0   1 0 1 1
        17.00 | 1 0   0 1 0 0   0 1 0 0 1   1 0 1 0 0   1 0 1 1
        18.00 | 0 0   0 1 0 0   0 1 0 0 1   1 0 1 0 0   1 0 1 1
        19.00 | 0 1   0 1 0 0   0 1 0 0 1   1 0 1 0 0   0 1 0 0
        20.00 | 0 0   0 1 0 1   0 1 0 0 0   1 0 0 0 1   1 0 1 0
        21.00 | 1 0   0 1 0 1   0 1 0 0 0   1 0 0 0 1   1 0 1 0
        22.00 | 0 0   0 1 0 1   0 1 0 0 0   1 0 0 0 1   1 0 1 0
        23.00 | 0 1   0 1 0 1   0 1 0 0 0   1 0 0 0 1   0 1 0 1
        24.00 | 0 0   0 1 1 0   0 1 0 0 0   1 0 1 0 1   1 0 0 1
        25.00 | 1 0   0 1 1 0   0 1 0 0 0   1 0 1 0 1   1 0 0 1
        26.00 | 0 0   0 1 1 0   0 1 0 0 0   1 0 1 0 1   1 0 0 1
        27.00 | 0 1   0 1 1 0   0 1 0 0 0   1 0 1 0 1   1 0 1 0
        28.00 | 0 0   0 1 1 1   0 1 0 0 0   1 0 0 0 1   1 0 0 0
        29.00 | 1 0   0 1 1 1   0 1 0 0 0   1 0 0 0 1   1 0 0 0
        30.00 | 0 0   0 1 1 1   0 1 0 0 0   1 0 0 0 1   1 0 0 0
        31.00 | 0 1   0 1 1 1   0 1 0 0 0   1 0 0 0 1   0 1 0 1
================================================================================
  network : doub_shft                                               nodes : 22  
================================================================================
