' \" @(#)mux_netw.out	 3.1	 03/22/88
================================================================================
                                     S L S                                      
                                  version: 3.0                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | m m m m   m m     m 
 in 1e-09 sec | u u u u   u u     u 
              | x x x x   x x     x 
              | _ _ _ _   _ _     _ 
              | i i i i   s s     o 
              | n n n n   e e     u 
              | * * * *   l l     t 
              | 1 2 3 4   e e       
              | * * * *   c c       
              |           t t       
              |           * *       
              |           1 2       
              |           * *       
================================================================================
         0.00 | 1 1 1 1   1 1     1
         1.00 | 1 0 1 0   1 1     0
         2.00 | 0 0 0 1   1 1     1
         3.00 | 0 1 0 0   1 1     0
         4.00 | 0 0 1 1   1 1     1
         5.00 | 1 0 1 0   1 1     0
         6.00 | 1 1 0 1   1 1     1
         7.00 | 0 0 0 0   1 1     0
         8.00 | 0 0 1 1   1 0     1
         9.00 | 0 1 1 0   1 0     1
        10.00 | 1 0 0 1   1 0     0
        11.00 | 1 0 0 0   1 0     0
        12.00 | 0 1 1 1   1 0     1
        13.00 | 0 0 1 0   1 0     1
        14.00 | 0 0 0 1   1 0     0
        15.00 | 1 1 0 0   1 0     0
        16.00 | 1 0 1 1   0 1     0
        17.00 | 0 0 1 0   0 1     0
        18.00 | 0 1 0 1   0 1     1
        19.00 | 0 0 0 0   0 1     0
        20.00 | 1 0 1 1   0 1     0
        21.00 | 1 1 1 0   0 1     1
        22.00 | 0 0 0 1   0 1     0
        23.00 | 0 0 0 0   0 1     0
        24.00 | 0 1 1 1   0 0     0
        25.00 | 1 0 1 0   0 0     1
        26.00 | 1 0 0 1   0 0     1
        27.00 | 0 1 0 0   0 0     0
        28.00 | 0 0 1 1   0 0     0
        29.00 | 0 0 1 0   0 0     0
        30.00 | 1 1 0 1   0 0     1
        31.00 | 1 0 0 0   0 0     1
================================================================================
  network : mux_netw                                                 nodes : 7  
================================================================================
