#Y-parameter meetfile:
#--------------------
#
#mespam
#CWAG       N41016   ABCPEM
#OPEN-PAR       NMOS      3     1    1   1
# 40  9 22  5 10 94
#FORWARDS LOGARITMIC OPEN SOURC TWO_PORT VOLT HP8510
#2.10000E+001 0.00000E+000 0.00000E+000 0.00000E+000 0.00000E+000 
#0.00000E+000 0.00000E+000 0.00000E+000 0.00000E+000 1.00000E+000 
#
# Freq         Y11-real    Y11-imag     Y21-real     Y21-imag     Y12-real     Y12-imag      Y22-real    Y22-imag
1.00000E+08 -1.1513E-005 3.34999E-004 1.03177E-005 1.25418E-005 5.06457E-007 1.33549E-006 -1.3695E-005 3.40393E-004 
1.15325E+08 -2.2327E-005 3.52828E-004 3.61525E-005 -7.6787E-006 -5.6852E-006 2.53543E-006 -1.2748E-005 4.05837E-004 
1.32998E+08 -4.0205E-006 4.53874E-004 -1.5148E-005 -6.0845E-006 -1.6265E-005 -1.1696E-005 9.59033E-006 4.54403E-004 
1.53379E+08 -1.8155E-005 4.96778E-004 -1.5499E-005 -1.3190E-005 2.02633E-006 -6.4492E-006 -1.0585E-005 5.35952E-004 
1.76884E+08 -3.2163E-007 5.75035E-004 6.00238E-006 -6.6939E-007 -3.2116E-006 -4.4330E-006 4.85239E-006 6.06098E-004 
2.03991E+08 5.09869E-006 6.63377E-004 -1.8963E-007 -6.2167E-006 -2.5885E-006 -7.2316E-007 1.57722E-006 7.00981E-004 
2.35253E+08 8.09657E-006 7.70936E-004 -5.3787E-008 3.72841E-006 -2.0567E-007 -1.7763E-006 -6.3278E-006 8.24689E-004 
2.71304E+08 1.82289E-006 8.88489E-004 2.35715E-006 -9.3361E-006 5.92036E-006 9.53573E-006 -4.2212E-006 9.51637E-004 
3.12881E+08 1.83582E-005 1.02596E-003 3.64245E-007 5.15773E-006 1.28106E-007 2.87155E-006 1.66179E-005 1.08558E-003 
3.60829E+08 1.37162E-005 1.18395E-003 9.81184E-006 2.26473E-006 1.04196E-005 -9.5679E-007 5.99066E-006 1.25800E-003 
4.16125E+08 9.91730E-006 1.36751E-003 5.93255E-006 1.23438E-006 1.00006E-005 -1.1011E-006 1.74932E-005 1.44897E-003 
4.79895E+08 2.26772E-005 1.57074E-003 1.94449E-005 4.41998E-006 1.17954E-005 -5.0658E-006 2.30210E-005 1.66544E-003 
5.53438E+08 2.54418E-005 1.81496E-003 1.49181E-005 5.68796E-006 1.35423E-005 4.66776E-006 2.28344E-005 1.92704E-003 
6.38250E+08 3.63041E-005 2.08666E-003 2.00875E-005 -4.9267E-007 2.17014E-005 2.73839E-006 4.01188E-005 2.21883E-003 
7.36060E+08 5.50970E-005 2.40962E-003 2.87195E-005 5.37969E-006 2.52187E-005 3.45329E-006 5.51285E-005 2.56810E-003 
8.48860E+08 5.91271E-005 2.77758E-003 4.27863E-005 3.90317E-006 3.76991E-005 3.58663E-006 7.78016E-005 2.95253E-003 
9.78945E+08 8.84584E-005 3.20943E-003 5.41659E-005 3.23743E-006 5.70855E-005 1.90635E-006 9.70920E-005 3.40694E-003 
1.12897E+09 1.20716E-004 3.68867E-003 7.35814E-005 -6.7365E-006 7.25119E-005 -5.1555E-006 1.33162E-004 3.92160E-003 
1.30198E+09 1.64732E-004 4.24829E-003 1.01134E-004 -1.1184E-005 1.01762E-004 -8.1816E-006 1.82953E-004 4.51456E-003 
1.50150E+09 2.02310E-004 4.88316E-003 1.27878E-004 -3.3068E-005 1.30555E-004 -3.0458E-005 2.37866E-004 5.18979E-003 
1.73160E+09 2.62947E-004 5.62074E-003 1.64234E-004 -4.2752E-005 1.69213E-004 -4.2471E-005 3.14031E-004 5.97986E-003 
1.99696E+09 3.29723E-004 6.45669E-003 1.90164E-004 -7.8763E-005 1.92246E-004 -7.5502E-005 3.82757E-004 6.86702E-003 
2.30299E+09 3.99995E-004 7.45281E-003 2.20541E-004 -7.5667E-005 2.22697E-004 -7.8858E-005 4.78703E-004 7.94780E-003 
2.65592E+09 5.40424E-004 8.62438E-003 3.13477E-004 -3.4859E-005 3.19414E-004 -4.3330E-005 6.54262E-004 9.21461E-003 
3.06293E+09 8.04726E-004 9.86755E-003 5.11291E-004 -1.2417E-004 5.10299E-004 -1.2779E-004 9.96669E-004 1.05727E-002 
3.53232E+09 1.04297E-003 1.12788E-002 6.38582E-004 -3.0774E-004 6.35546E-004 -2.9779E-004 1.31014E-003 1.20242E-002 
4.07364E+09 1.28711E-003 1.29656E-002 6.57328E-004 -3.7410E-004 6.65211E-004 -3.7163E-004 1.57471E-003 1.37970E-002 
4.69791E+09 1.77051E-003 1.48648E-002 9.82459E-004 -4.4262E-004 9.95530E-004 -4.4463E-004 2.19963E-003 1.59657E-002 
5.41785E+09 2.34078E-003 1.68759E-002 1.36208E-003 -7.6886E-004 1.36105E-003 -7.7373E-004 3.08425E-003 1.81239E-002 
6.24812E+09 2.99774E-003 1.90933E-002 1.72260E-003 -1.3133E-003 1.71795E-003 -1.3156E-003 4.09638E-003 2.04074E-002 
7.20563E+09 3.74349E-003 2.15567E-002 1.95479E-003 -2.0237E-003 1.94456E-003 -2.0481E-003 5.26610E-003 2.28329E-002 
8.30987E+09 4.72735E-003 2.42261E-002 2.15188E-003 -3.0049E-003 2.14278E-003 -3.0663E-003 6.62773E-003 2.54121E-002 
9.58333E+09 5.62458E-003 2.72321E-002 2.12965E-003 -4.3519E-003 2.13942E-003 -4.3639E-003 8.33207E-003 2.78256E-002 
1.10520E+10 6.65412E-003 3.05436E-002 1.44573E-003 -6.1038E-003 1.42271E-003 -6.0750E-003 9.61866E-003 3.03682E-002 
1.27456E+10 8.06618E-003 3.44761E-002 8.27044E-005 -7.6271E-003 6.77465E-005 -7.6789E-003 1.08729E-002 3.33424E-002 
1.46989E+10 1.00588E-002 3.87513E-002 -1.8895E-003 -9.0865E-003 -1.9787E-003 -9.0179E-003 1.22565E-002 3.72690E-002 
1.69514E+10 1.31822E-002 4.30408E-002 -5.0882E-003 -9.6987E-003 -5.0459E-003 -9.6522E-003 1.51965E-002 4.18221E-002 
1.95492E+10 1.72207E-002 4.65885E-002 -9.0741E-003 -8.8777E-003 -9.1421E-003 -8.7074E-003 2.04084E-002 4.54805E-002 
2.25450E+10 2.11889E-002 4.82325E-002 -1.2208E-002 -4.9090E-003 -1.2388E-002 -4.8703E-003 2.58274E-002 4.46896E-002 
2.60000E+10 2.34337E-002 4.95834E-002 -1.1883E-002 -8.0593E-004 -1.1886E-002 -7.6462E-004 2.65574E-002 4.29158E-002 
